"full.addr.simpl","full.addr","lat","lon","success","dist.centre","neigh.name","neigh.code","optional"
"Aalsmeerweg 54, Amsterdam, Netherlands","Aalsmeerweg 54, Amsterdam, Netherlands",52.349304,52.349304,"OK",3173924.86697877,NA,NA,TRUE
"Aalsmeerweg 54, Amsterdam, Netherlands","Aalsmeerweg 54, Amsterdam, Netherlands",52.349304,52.349304,"OK",3173924.86697877,NA,NA,TRUE
"Aalsmeerweg 54, Amsterdam, Netherlands","Aalsmeerweg 54, Amsterdam, Netherlands",4.848643,4.848643,"OK",5268711.94884977,NA,NA,TRUE
"Aalsmeerweg 54, Amsterdam, Netherlands","Aalsmeerweg 54, Amsterdam, Netherlands",4.848643,4.848643,"OK",5268711.94884977,NA,NA,TRUE
"Aalsmeerweg 54, Amsterdam, Netherlands","Aalsmeerweg 54_56, Amsterdam, Netherlands",52.349304,52.349304,"OK",3173924.86697877,NA,NA,TRUE
"Aalsmeerweg 54, Amsterdam, Netherlands","Aalsmeerweg 54_56, Amsterdam, Netherlands",52.349304,52.349304,"OK",3173924.86697877,NA,NA,TRUE
"Aalsmeerweg 54, Amsterdam, Netherlands","Aalsmeerweg 54_56, Amsterdam, Netherlands",4.848643,4.848643,"OK",5268711.94884977,NA,NA,TRUE
"Aalsmeerweg 54, Amsterdam, Netherlands","Aalsmeerweg 54_56, Amsterdam, Netherlands",4.848643,4.848643,"OK",5268711.94884977,NA,NA,TRUE
"Aalsmeerweg 56, Amsterdam, Netherlands","Aalsmeerweg 56, Amsterdam, Netherlands",52.349304,4.848643,"OK",3911.5309847657,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 58, Amsterdam, Netherlands","Aalsmeerweg 58, Amsterdam, Netherlands",52.3492025,4.8485169,"OK",3925.50250547577,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 60, Amsterdam, Netherlands","Aalsmeerweg 60, Amsterdam, Netherlands",52.3491661,4.848484,"OK",3929.89601497262,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 61, Amsterdam, Netherlands","Aalsmeerweg 61, Amsterdam, Netherlands",52.3490375,4.848929,"OK",3917.42535289864,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 62, Amsterdam, Netherlands","Aalsmeerweg 62, Amsterdam, Netherlands",52.3491209,4.8484408,"OK",3935.4699371283,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 63, Amsterdam, Netherlands","Aalsmeerweg 63, Amsterdam, Netherlands",52.3489923,4.8488856,"OK",3923.02252388122,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 64, Amsterdam, Netherlands","Aalsmeerweg 64, Amsterdam, Netherlands",52.3490634,4.8483919,"OK",3942.25862362897,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 65, Amsterdam, Netherlands","Aalsmeerweg 65, Amsterdam, Netherlands",52.3489604,4.8488405,"OK",3927.69235395489,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 66, Amsterdam, Netherlands","Aalsmeerweg 66, Amsterdam, Netherlands",52.3491134,4.8484313,"OK",3936.51165426051,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 67, Amsterdam, Netherlands","Aalsmeerweg 67, Amsterdam, Netherlands",52.3489197,4.8487993,"OK",3932.83844314789,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 68, Amsterdam, Netherlands","Aalsmeerweg 68, Amsterdam, Netherlands",52.3489686,4.8482923,"OK",3954.40348852746,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 7, Amsterdam, Netherlands","Aalsmeerweg 7, Amsterdam, Netherlands",52.3506898,4.8496147,"OK",3759.02087334336,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 70, Amsterdam, Netherlands","Aalsmeerweg 70, Amsterdam, Netherlands",52.3489352,4.8482593,"OK",3958.57841540607,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 72, Amsterdam, Netherlands","Aalsmeerweg 72_74, Amsterdam, Netherlands",52.3489081,4.8482325,"OK",3961.96735160359,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 79, Amsterdam, Netherlands","Aalsmeerweg 79_81, Amsterdam, Netherlands",52.3484592,4.8483205,"OK",3991.72331570892,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 83, Amsterdam, Netherlands","Aalsmeerweg 83, Amsterdam, Netherlands",52.3483517,4.8482465,"OK",4003.60927591685,"Hoofddorppleinbuurt","44",TRUE
"Aalsmeerweg 9, Amsterdam, Netherlands","Aalsmeerweg 9, Amsterdam, Netherlands",52.3506215,4.8494263,"OK",3773.66914629724,"Hoofddorppleinbuurt","44",TRUE
"Aan de Haven 794, Amsterdam, Netherlands","Aan de Haven 794_808, Amsterdam, Netherlands",52.3675734,4.9041389,"OK",1090.93168762351,"Nieuwmarkt/Lastage","04",TRUE
"Abbenesstraat 17, Amsterdam, Netherlands","Abbenesstraat 17, Amsterdam, Netherlands",4.846615,4.846615,"OK",5268936.3509597,NA,NA,TRUE
"Abbenesstraat 17, Amsterdam, Netherlands","Abbenesstraat 17, Amsterdam, Netherlands",4.846615,4.846615,"OK",5268936.3509597,NA,NA,TRUE
"Abbenesstraat 17, Amsterdam, Netherlands","Abbenesstraat 17, Amsterdam, Netherlands",52.348013,52.348013,"OK",3173889.14145845,NA,NA,TRUE
"Abbenesstraat 17, Amsterdam, Netherlands","Abbenesstraat 17, Amsterdam, Netherlands",52.348013,52.348013,"OK",3173889.14145845,NA,NA,TRUE
"Abbenesstraat 17, Amsterdam, Netherlands","Abbenesstraat 17_19, Amsterdam, Netherlands",4.846615,4.846615,"OK",5268936.3509597,NA,NA,TRUE
"Abbenesstraat 17, Amsterdam, Netherlands","Abbenesstraat 17_19, Amsterdam, Netherlands",4.846615,4.846615,"OK",5268936.3509597,NA,NA,TRUE
"Abbenesstraat 17, Amsterdam, Netherlands","Abbenesstraat 17_19, Amsterdam, Netherlands",52.348013,52.348013,"OK",3173889.14145845,NA,NA,TRUE
"Abbenesstraat 17, Amsterdam, Netherlands","Abbenesstraat 17_19, Amsterdam, Netherlands",52.348013,52.348013,"OK",3173889.14145845,NA,NA,TRUE
"Abbenesstraat 19, Amsterdam, Netherlands","Abbenesstraat 19, Amsterdam, Netherlands",52.348013,4.846512,"OK",4115.66743246302,"Hoofddorppleinbuurt","44",TRUE
"Abbenesstraat 21, Amsterdam, Netherlands","Abbenesstraat 21_27, Amsterdam, Netherlands",52.3480102,4.8464327,"OK",4119.85015538966,"Hoofddorppleinbuurt","44",TRUE
"Acacialaan 18, Amsterdam, Netherlands","Acacialaan 18_20_20a, Amsterdam, Netherlands",52.3675734,4.9041389,"OK",1090.93168762351,"Nieuwmarkt/Lastage","04",TRUE
"Achillesstraat 142, Amsterdam, Netherlands","Achillesstraat 142, Amsterdam, Netherlands",52.3438234,4.8646643,"OK",3715.92201381016,"Stadionbuurt","48",TRUE
"Achillesstraat 144, Amsterdam, Netherlands","Achillesstraat 144, Amsterdam, Netherlands",52.343772,4.8647039,"OK",3719.64191927061,"Stadionbuurt","48",TRUE
"Achillesstraat 69, Amsterdam, Netherlands","Achillesstraat 69_75_48_54_8_18, Amsterdam, Netherlands",52.3454027,4.8644775,"OK",3569.25556650943,"Stadionbuurt","48",TRUE
"Achillesstraat 89, Amsterdam, Netherlands","Achillesstraat 89, Amsterdam, Netherlands",52.344713,4.8647435,"OK",3626.79251208092,"Stadionbuurt","48",TRUE
"Achillesstraat 92, Amsterdam, Netherlands","Achillesstraat 92_94, Amsterdam, Netherlands",52.3453213,4.8640907,"OK",3590.41662176892,"Stadionbuurt","48",TRUE
"Achillesstraat 93, Amsterdam, Netherlands","Achillesstraat 93_99_37_43_24_38, Amsterdam, Netherlands",52.3445893,4.8647686,"OK",3637.95016233526,"Stadionbuurt","48",TRUE
"Achillesstraat 96, Amsterdam, Netherlands","Achillesstraat 96_98, Amsterdam, Netherlands",52.3452693,4.8641188,"OK",3594.42717532621,"Stadionbuurt","48",TRUE
"Achter Oosteinde 13, Amsterdam, Netherlands","Achter Oosteinde 13, Amsterdam, Netherlands",52.359543,4.9028253,"OK",1712.94503980896,"Weteringschans","07",TRUE
"Achter Oosteinde 2, Amsterdam, Netherlands","Achter Oosteinde 2_4_6, Amsterdam, Netherlands",52.3593468,4.9022216,"OK",1713.31421930655,"Weteringschans","07",TRUE
"Achter Oosteinde 8, Amsterdam, Netherlands","Achter Oosteinde 8, Amsterdam, Netherlands",52.3593621,4.9025338,"OK",1721.47297232455,"Weteringschans","07",TRUE
"Achterdijk 45, Amsterdam, Netherlands","Achterdijk 45, Amsterdam, Netherlands",52.0275246,5.23466,"OK",45066.1036272603,NA,NA,TRUE
"Achterdijk 57, Amsterdam, Netherlands","Achterdijk 57_63, Amsterdam, Netherlands",52.3620655,4.8830728,"OK",1338.63039865152,"Weteringschans","07",TRUE
"Achtergracht 1, Amsterdam, Netherlands","Achtergracht 1, Amsterdam, Netherlands",52.3613681,4.9007794,"OK",1468.30068417682,"Weteringschans","07",TRUE
"Achtergracht 10, Amsterdam, Netherlands","Achtergracht 10, Amsterdam, Netherlands",52.3610699,4.9016137,"OK",1524.23449792254,"Weteringschans","07",TRUE
"Achtergracht 103, Amsterdam, Netherlands","Achtergracht 103, Amsterdam, Netherlands",52.3616879,4.9023483,"OK",1489.76927380442,"Weteringschans","07",TRUE
"Achtergracht 12, Amsterdam, Netherlands","Achtergracht 12, Amsterdam, Netherlands",52.3610849,4.9016901,"OK",1525.26806006163,"Weteringschans","07",TRUE
"Achtergracht 14, Amsterdam, Netherlands","Achtergracht 14, Amsterdam, Netherlands",52.3611386,4.9017949,"OK",1523.4956416417,"Weteringschans","07",TRUE
"Achtergracht 15, Amsterdam, Netherlands","Achtergracht 15, Amsterdam, Netherlands",52.3615021,4.9012694,"OK",1470.783329776,"Weteringschans","07",TRUE
"Achtergracht 16, Amsterdam, Netherlands","Achtergracht 16, Amsterdam, Netherlands",52.3611478,4.9018389,"OK",1524.06346196362,"Weteringschans","07",TRUE
"Achtergracht 17, Amsterdam, Netherlands","Achtergracht 17_19, Amsterdam, Netherlands",52.3614784,4.9013655,"OK",1476.24517447614,"Weteringschans","07",TRUE
"Achtergracht 18, Amsterdam, Netherlands","Achtergracht 18, Amsterdam, Netherlands",52.3611661,4.9019267,"OK",1525.22117860288,"Weteringschans","07",TRUE
"Achtergracht 2, Amsterdam, Netherlands","Achtergracht 2, Amsterdam, Netherlands",52.3609218,4.90136,"OK",1530.61183954938,"Weteringschans","07",TRUE
"Achtergracht 20, Amsterdam, Netherlands","Achtergracht 20, Amsterdam, Netherlands",52.3611754,4.902,"OK",1526.78505419719,"Weteringschans","07",TRUE
"Achtergracht 21, Amsterdam, Netherlands","Achtergracht 21, Amsterdam, Netherlands",52.3615617,4.9015294,"OK",1473.58237960637,"Weteringschans","07",TRUE
"Achtergracht 23, Amsterdam, Netherlands","Achtergracht 23, Amsterdam, Netherlands",52.3615406,4.9016053,"OK",1478.17005281687,"Weteringschans","07",TRUE
"Achtergracht 24, Amsterdam, Netherlands","Achtergracht 24, Amsterdam, Netherlands",52.361212,4.9021611,"OK",1528.7201025168,"Weteringschans","07",TRUE
"Achtergracht 25, Amsterdam, Netherlands","Achtergracht 25, Amsterdam, Netherlands",52.3615425,4.9016584,"OK",1479.77268841951,"Weteringschans","07",TRUE
"Achtergracht 29, Amsterdam, Netherlands","Achtergracht 29, Amsterdam, Netherlands",52.36157,4.9017902,"OK",1481.58559961679,"Weteringschans","07",TRUE
"Achtergracht 32, Amsterdam, Netherlands","Achtergracht 32, Amsterdam, Netherlands",52.3612219,4.9023959,"OK",1535.85400737121,"Weteringschans","07",TRUE
"Achtergracht 33, Amsterdam, Netherlands","Achtergracht 33, Amsterdam, Netherlands",52.3616018,4.9019101,"OK",1482.63426537988,"Weteringschans","07",TRUE
"Achtergracht 35, Amsterdam, Netherlands","Achtergracht 35, Amsterdam, Netherlands",52.3616134,4.9019676,"OK",1483.50575708626,"Weteringschans","07",TRUE
"Achtergracht 45, Amsterdam, Netherlands","Achtergracht 45, Amsterdam, Netherlands",52.3616706,4.9022599,"OK",1488.2729008118,"Weteringschans","07",TRUE
"Achtergracht 7, Amsterdam, Netherlands","Achtergracht 7, Amsterdam, Netherlands",52.3614048,4.9009699,"OK",1470.67389329017,"Weteringschans","07",TRUE
"Achtergracht 84, Amsterdam, Netherlands","Achtergracht 84, Amsterdam, Netherlands",52.361265,4.9025924,"OK",1538.6101600335,"Weteringschans","07",TRUE
"Achtergracht 9, Amsterdam, Netherlands","Achtergracht 9_11, Amsterdam, Netherlands",52.3615003,4.9009997,"OK",1462.23310976323,"Weteringschans","07",TRUE
"Achterlaan 14, Amsterdam, Netherlands","Achterlaan 14, Amsterdam, Netherlands",52.4070861,4.9671209,"OK",6420.6566601547,"Waterland","73",TRUE
"Achterweg 1, Amsterdam, Netherlands","Achterweg 1_3, Amsterdam, Netherlands",52.3675734,4.9041389,"OK",1090.93168762351,"Nieuwmarkt/Lastage","04",TRUE
"Adelaarsweg 134, Amsterdam, Netherlands","Adelaarsweg 134_139_1_3_5, Amsterdam, Netherlands",52.3903653,4.923907,"OK",2956.4930483975,"IJplein/Vogelbuurt","61",TRUE
"Adelaarsweg 329, Amsterdam, Netherlands","Adelaarsweg 329_331, Amsterdam, Netherlands",52.3905887,4.9242593,"OK",2990.8782277248,"IJplein/Vogelbuurt","61",TRUE
"Adelaarsweg 49, Amsterdam, Netherlands","Adelaarsweg 49_50, Amsterdam, Netherlands",52.3855249,4.913558,"OK",2071.50346465191,"IJplein/Vogelbuurt","61",TRUE
"Adelaarsweg 57, Amsterdam, Netherlands","Adelaarsweg 57, Amsterdam, Netherlands",52.3857766,4.9139667,"OK",2110.91977718562,"IJplein/Vogelbuurt","61",TRUE
"Adelaarsweg 58, Amsterdam, Netherlands","Adelaarsweg 58, Amsterdam, Netherlands",52.3857766,4.9139667,"OK",2110.91977718562,"IJplein/Vogelbuurt","61",TRUE
"Adelaarsweg 59, Amsterdam, Netherlands","Adelaarsweg 59, Amsterdam, Netherlands",52.3858503,4.9140099,"OK",2118.59198297494,"IJplein/Vogelbuurt","61",TRUE
"Admiraal de Ruyterweg 100, Amsterdam, Netherlands","Admiraal de Ruyterweg 100_102, Amsterdam, Netherlands",52.372524,4.8595027,"OK",2139.79052564575,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 103, Amsterdam, Netherlands","Admiraal de Ruyterweg 103, Amsterdam, Netherlands",52.3723163,4.859088,"OK",2168.831026036,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 106, Amsterdam, Netherlands","Admiraal de Ruyterweg 106, Amsterdam, Netherlands",52.372633,4.8593918,"OK",2147.01075924233,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 108, Amsterdam, Netherlands","Admiraal de Ruyterweg 108, Amsterdam, Netherlands",52.372662,4.8594136,"OK",2145.45033157014,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 109, Amsterdam, Netherlands","Admiraal de Ruyterweg 109, Amsterdam, Netherlands",52.3725253,4.8590514,"OK",2170.50897769965,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 112, Amsterdam, Netherlands","Admiraal de Ruyterweg 112, Amsterdam, Netherlands",52.3728118,4.8593612,"OK",2148.70258814597,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 114, Amsterdam, Netherlands","Admiraal de Ruyterweg 114, Amsterdam, Netherlands",52.3728594,4.8593068,"OK",2152.33404557535,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 116, Amsterdam, Netherlands","Admiraal de Ruyterweg 116, Amsterdam, Netherlands",52.372893,4.8593337,"OK",2150.45835636581,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 117, Amsterdam, Netherlands","Admiraal de Ruyterweg 117, Amsterdam, Netherlands",52.3728459,4.8589349,"OK",2177.67986295416,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 12, Amsterdam, Netherlands","Admiraal de Ruyterweg 12, Amsterdam, Netherlands",52.3705278,4.8645166,"OK",1820.01631027376,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 123, Amsterdam, Netherlands","Admiraal de Ruyterweg 123, Amsterdam, Netherlands",4.8588594,4.8588594,"OK",5267581.58497489,NA,NA,TRUE
"Admiraal de Ruyterweg 123, Amsterdam, Netherlands","Admiraal de Ruyterweg 123, Amsterdam, Netherlands",52.3730163,52.3730163,"OK",3174581.48799349,NA,NA,TRUE
"Admiraal de Ruyterweg 123, Amsterdam, Netherlands","Admiraal de Ruyterweg 123, Amsterdam, Netherlands",4.8588594,4.8588594,"OK",5267581.58497489,NA,NA,TRUE
"Admiraal de Ruyterweg 123, Amsterdam, Netherlands","Admiraal de Ruyterweg 123, Amsterdam, Netherlands",52.3730163,52.3730163,"OK",3174581.48799349,NA,NA,TRUE
"Admiraal de Ruyterweg 123, Amsterdam, Netherlands","Admiraal de Ruyterweg 123_125, Amsterdam, Netherlands",4.8588594,4.8588594,"OK",5267581.58497489,NA,NA,TRUE
"Admiraal de Ruyterweg 123, Amsterdam, Netherlands","Admiraal de Ruyterweg 123_125, Amsterdam, Netherlands",52.3730163,52.3730163,"OK",3174581.48799349,NA,NA,TRUE
"Admiraal de Ruyterweg 123, Amsterdam, Netherlands","Admiraal de Ruyterweg 123_125, Amsterdam, Netherlands",4.8588594,4.8588594,"OK",5267581.58497489,NA,NA,TRUE
"Admiraal de Ruyterweg 123, Amsterdam, Netherlands","Admiraal de Ruyterweg 123_125, Amsterdam, Netherlands",52.3730163,52.3730163,"OK",3174581.48799349,NA,NA,TRUE
"Admiraal de Ruyterweg 125, Amsterdam, Netherlands","Admiraal de Ruyterweg 125, Amsterdam, Netherlands",52.3731241,4.8588435,"OK",2183.71864016323,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 127, Amsterdam, Netherlands","Admiraal de Ruyterweg 127, Amsterdam, Netherlands",52.373187,4.8588427,"OK",2183.79199119776,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 130, Amsterdam, Netherlands","Admiraal de Ruyterweg 130, Amsterdam, Netherlands",52.3733971,4.8591822,"OK",2160.89854143201,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 131, Amsterdam, Netherlands","Admiraal de Ruyterweg 131, Amsterdam, Netherlands",52.3733484,4.8587673,"OK",2189.07776034899,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 132, Amsterdam, Netherlands","Admiraal de Ruyterweg 132, Amsterdam, Netherlands",52.3734684,4.8591621,"OK",2162.40210584417,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 133, Amsterdam, Netherlands","Admiraal de Ruyterweg 133, Amsterdam, Netherlands",52.3733692,4.8587748,"OK",2188.59715198488,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 134, Amsterdam, Netherlands","Admiraal de Ruyterweg 134, Amsterdam, Netherlands",52.373521,4.8591221,"OK",2165.24377736593,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 139, Amsterdam, Netherlands","Admiraal de Ruyterweg 139, Amsterdam, Netherlands",52.3736177,4.858676,"OK",2195.8729350632,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 14, Amsterdam, Netherlands","Admiraal de Ruyterweg 14, Amsterdam, Netherlands",52.3705325,4.8645038,"OK",1820.79508478632,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 148, Amsterdam, Netherlands","Admiraal de Ruyterweg 148_150, Amsterdam, Netherlands",52.3740517,4.8589914,"OK",2176.20860124444,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 156, Amsterdam, Netherlands","Admiraal de Ruyterweg 156, Amsterdam, Netherlands",52.3743134,4.8589119,"OK",2183.21993887727,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 159, Amsterdam, Netherlands","Admiraal de Ruyterweg 159, Amsterdam, Netherlands",52.3744184,4.858424,"OK",2217.12619329284,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 16, Amsterdam, Netherlands","Admiraal de Ruyterweg 16, Amsterdam, Netherlands",52.3705347,4.8644977,"OK",1821.1669972091,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 160, Amsterdam, Netherlands","Admiraal de Ruyterweg 160, Amsterdam, Netherlands",52.3744891,4.858839,"OK",2189.46596722445,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 161, Amsterdam, Netherlands","Admiraal de Ruyterweg 161, Amsterdam, Netherlands",52.3745209,4.8584,"OK",2219.53884820161,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 162, Amsterdam, Netherlands","Admiraal de Ruyterweg 162, Amsterdam, Netherlands",52.3745564,4.8588514,"OK",2189.1642154795,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 164, Amsterdam, Netherlands","Admiraal de Ruyterweg 164, Amsterdam, Netherlands",52.3748045,4.8587794,"OK",2196.26228269491,"Landlust","37",TRUE
"Admiraal de Ruyterweg 166, Amsterdam, Netherlands","Admiraal de Ruyterweg 166, Amsterdam, Netherlands",52.3748672,4.8587199,"OK",2200.91079064338,"Landlust","37",TRUE
"Admiraal de Ruyterweg 168, Amsterdam, Netherlands","Admiraal de Ruyterweg 168, Amsterdam, Netherlands",52.3749567,4.8586817,"OK",2204.41168695582,"Landlust","37",TRUE
"Admiraal de Ruyterweg 170, Amsterdam, Netherlands","Admiraal de Ruyterweg 170, Amsterdam, Netherlands",52.3750286,4.8586445,"OK",2207.69626620168,"Landlust","37",TRUE
"Admiraal de Ruyterweg 172, Amsterdam, Netherlands","Admiraal de Ruyterweg 172, Amsterdam, Netherlands",52.3751158,4.8586801,"OK",2206.24733822264,"Landlust","37",TRUE
"Admiraal de Ruyterweg 174, Amsterdam, Netherlands","Admiraal de Ruyterweg 174, Amsterdam, Netherlands",52.3751554,4.8586372,"OK",2209.60501699809,"Landlust","37",TRUE
"Admiraal de Ruyterweg 175, Amsterdam, Netherlands","Admiraal de Ruyterweg 175, Amsterdam, Netherlands",52.3752089,4.8581695,"OK",2241.90279607728,"Landlust","37",TRUE
"Admiraal de Ruyterweg 176, Amsterdam, Netherlands","Admiraal de Ruyterweg 176, Amsterdam, Netherlands",52.3752423,4.8586107,"OK",2212.41974912486,"Landlust","37",TRUE
"Admiraal de Ruyterweg 177, Amsterdam, Netherlands","Admiraal de Ruyterweg 177, Amsterdam, Netherlands",52.3752691,4.8581571,"OK",2243.45250208562,"Landlust","37",TRUE
"Admiraal de Ruyterweg 178, Amsterdam, Netherlands","Admiraal de Ruyterweg 178, Amsterdam, Netherlands",52.3752906,4.8583728,"OK",2229.10845961027,"Landlust","37",TRUE
"Admiraal de Ruyterweg 179, Amsterdam, Netherlands","Admiraal de Ruyterweg 179, Amsterdam, Netherlands",52.3753246,4.8581913,"OK",2241.80955578147,"Landlust","37",TRUE
"Admiraal de Ruyterweg 18, Amsterdam, Netherlands","Admiraal de Ruyterweg 18, Amsterdam, Netherlands",52.3705396,4.8644851,"OK",1821.92917981059,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 181, Amsterdam, Netherlands","Admiraal de Ruyterweg 181, Amsterdam, Netherlands",52.3754217,4.8581259,"OK",2247.45117209953,"Landlust","37",TRUE
"Admiraal de Ruyterweg 183, Amsterdam, Netherlands","Admiraal de Ruyterweg 183, Amsterdam, Netherlands",52.3754914,4.8580766,"OK",2251.68873571232,"Landlust","37",TRUE
"Admiraal de Ruyterweg 185, Amsterdam, Netherlands","Admiraal de Ruyterweg 185, Amsterdam, Netherlands",52.3754689,4.8581459,"OK",2246.70756471173,"Landlust","37",TRUE
"Admiraal de Ruyterweg 189, Amsterdam, Netherlands","Admiraal de Ruyterweg 189, Amsterdam, Netherlands",52.3757179,4.8580342,"OK",2257.66600530608,"Landlust","37",TRUE
"Admiraal de Ruyterweg 20, Amsterdam, Netherlands","Admiraal de Ruyterweg 20, Amsterdam, Netherlands",52.3705445,4.8644726,"OK",1822.68488317743,"De Krommert","40",TRUE
"Admiraal de Ruyterweg 209, Amsterdam, Netherlands","Admiraal de Ruyterweg 209, Amsterdam, Netherlands",52.3765695,4.8577509,"OK",2290.83892737986,"Landlust","37",TRUE
